,sentiment,text
417,negative,@JetBlue Cancelled Flighted my flight. Went with another airline 2 leave 2day. They Cancelled Flighted also. Called JetBlue &amp; got same flight but now $250 more👺
418,positive,What a #lively #lovely #shower 😇 ..
419,positive,@AmericanAir 🙏 in my hotel now. Thank you!
420,negative,"Australia & Norway played fast & lose w/taxpayer $$ donated to Clinton Foundation. 👎🏼Pay 2 play arms deals, perhaps? https://t.co/nKGC6AWTDq"
421,negative,#FuckTrump @MicroRubio America's Nightmare. 🇺🇸😱💤 #trumptransitionteam #notmypresident #fucktrump #nohateinwhitehou… https://t.co/VFNMU8vLh2
422,negative,@HannahFJames I'm distraught! 😭 Candice and her pout can piss off
423,negative,@jamie_93_lee Don't upset me 😢
424,negative,@realDonaldTrump whaah 😭😭 @megynkelly &amp; #foxnews was unfair to me They shouldn't ask questions about what I say 😭😭 #gopdebate
425,negative,@AnthonyEinzig I'm so sorry. This is heartbreaking and so scary. If it can happen there it can happen anywhere. Please be safe 🙏🏻 
426,positive,@JetBlue #ClosePWCS please just tweet this🙏🙏❤️ I fly jetblue every time btw😏
427,neutral,That's exactly how it is right this moment with a Trump cabinet! 🖕🏼🖕🏼🖕🏼🖕🏼🖕🏼 https://t.co/zK51fTbtdF https://t.co/DThdIY1C6E
428,negative,@united I missed it. Set up in a hotel. Flights delayed in SFO for 6+ hours. Missing all the wedding festivities of my friend. 😞
429,positive,Why wasn't Adam on this list ? He was on as much as Chelsea ❤️ I miss him #but love #thisisus #yr https://t.co/7Hv8i7DyRs
430,positive,@VirginAmerica my goodness your people @love field are amazing under pressure ❤️from Texas #beatstheothers in crisis Please fly me to NY
431,neutral,@FoxNews @BretBaier 😂.. Go home #GopDebates #GOPClownCar ur drunk
432,neutral,“@JetBlue: Our fleet's on fleek. http://t.co/uKM4e99Dz0” lmaoooo 😂😂😂😂
433,positive,@utahjazz this was my favorite from last night 😂 https://t.co/OD5vyWueeX
434,neutral,@WalkingDead_AMC just drop all three episodes back to back to back this Sunday #TheWalkingDead 😅
435,neutral,"@heathmari Didn't know it was possible 2B turned on that early. 😄 btw, it comes up automatically when you use the hashtag #TheWalkingDead"
436,negative,"@SouthwestAir used to exclusively fly SW, but Late Flightly, direct flights &amp; cheaper costs have me switched. 😔 why...so... few...direct...flights?"
437,negative,"@VirginAmerica mood lighting on point🙌 Reclining my seat, kickin up my feet💤"
438,neutral,@DocThompsonShow @glennbeck you guys have #isis right here in Ft. Worth! 😉 https://t.co/I9GDeiAMiY
439,positive,One direction will always be in my heart😙#OneDirection #NiallHoran #LiamPayne #louis #harrystyles #ZaynMalik… https://t.co/plGppYECOT
440,positive,"Oh Hester..I love you😂Seriously @msleamichele in this role, it's EVERYTHING..I mean Rachel Berry to Hester? DAMN girl👏🏼🙌🏼❤️#ScreamQueens"
441,positive,Nice video of latest tests @TeslaMotors for self-driving cars. Easy ride 🚗 https://t.co/kKMhjCOd8e
442,positive,@JetBlue thanks for the upgrade😉!! so far so good. #KeepItUp http://t.co/BKmfeY7QOL
443,positive,❤️ Leonard Cohen on Democracy and Its Redemptions – Brain Pickings https://t.co/F8OA8ZA7D4
444,neutral,@JetBlue a little vino wouldn't hurt 🍷
445,positive,I always look forward to JB RT @JetBlue: @bostongarden :) Looking forward to welcoming you onboard! 💙
446,negative,"@AmericanAir I understand. I'm feeling cranky. I called AA's bag tracker number and heard ""your bag has not been located."" 😩"
447,negative,@SouthwestAir waited 34 mins for baggage MDW&gt;MEM and the in-flight service was suspended so no drink 😕
448,positive,"Cookie ♥ Nutella, topping Kinder BuenoWhite\n#cookie #muffin #nutella #food #delicious #foodporn #happy #dessert #chocolate #cake #junkfood"
449,neutral,"@avonet5555 @YouTube Dec 19th, throw all the bums out. It was rigged. Voter suppression, ballot box tampering & foreign interference & more💙"
450,negative,I dread this drive every Wednesday 😩
451,negative,.@SouthwestAir  I finally hung up after 2 hours and was not able to get the flight I needed. #stuckintampa 😞
452,neutral,Happy Black Friday idiot hookers love Chanel Oberlin 💋 #ScreamQueens #BlackFriday https://t.co/QHTtAQtOhs
453,neutral,Watching last night's #GOPDebate. 😩
454,positive,"Happy Thanksgiving from Turkey! (oh, the puns 😁)Deciphering cryptic wifi access at @istanbulairportOn to… https://t.co/Utjf1GVSSp"
455,neutral,🇺🇸The next Secretary of Education. 🇺🇸 #MAGA #UniteBlue #Dems #tcot  https://t.co/KHXBWrGvKK
456,negative,Is rudeness and poor customers service a job requirement at @AmericanAir ? Been waiting 28hrs and still haven't even seen one plane😡
457,positive,"Happy Black Friday, sluts! Shop until you drop! Who's purchasing a pink jeep? #ScreamQueens 💋 https://t.co/Tmx9OkKIGb"
458,negative,The most depressing part of being ill is that your taste goes 😫
459,positive,Perfectly #Recall #amazing #surreal #totalsolareclipse so #fortunate to #experience in #Europe #ManyYearsAgo #Live \n#Happy 4 #YouGuys #USA 😘
460,negative,@RonBaker6694 I got a super speeder and lost my license for 6 months! 😩🔫
461,positive,Ashley Graham reveals which VH1 diva she's most excited to see ✨https://t.co/6fkOsIkhXS
462,neutral,@SouthwestAir I think me and my group could use some nice cold drinks once we get in the air...we are all over 21 😜😎
463,positive,Oh dear an evening of absolute hilarity I don't think I have laughed so much in a long time! 😂
464,negative,RT @JRenee_A_Go_Go: 10 white guys.✅ 1 black guy. ✅ 1 Hispanic guy. ✅ And they couldn't spare one of the 10 white guys for a woman? #GOPDeba…
465,positive,@SamiYusuf I wish to be there lovely bro Sami💐Wishing you a successful wonderful and concert in Dubai lots of love… https://t.co/6lw3mvYGnl
466,negative,The moment you bring her to meet your best friend and you're nervous af! 😬😆 #nervous #thefriendtest
467,negative,"Gabbard is that disrespectful creature, but the fact that Steve Bannon loves her... well🙄 https://t.co/ejuRtP1EGV"
468,negative,"Oh shit , we are playing against sociedad on Sunday at the anoeta 🤔😶#fcblive"
469,positive,Maybe Chelsea too ❤️👍#yr #thisisus @MClaireEgan @justinhartley  #FridayThoughts https://t.co/UPSnQIOQ92
470,negative,@Chan_lfc10 @paul_rule @Nuttall1878 @DeadlineDayLive @Everton We'd be fuming if the hijacked our £8m move for a relegated full back 😡
471,positive,"RT @peddoc63: Go Carly📢
Go Carly📢
Go Carly📢
@CarlyFiorina #Carly2016 #GOPDebate
@FlyoverCulture @LeahR77 @steph93065 @MaydnUSA http://t.co/…"
472,neutral,@SouthwestAir we're flying out tomorrow! PLEASE DONT Cancelled Flight!! Lol 😜✈️
473,neutral,"Steve Bannon says Trump is “probably the greatest orator since William Jennings Bryan"" 😹😹😹😹😹😹😹😹 totes bigly  https://t.co/Q1CdIPFdFP"
474,positive,@ErinAndrews I ❤️you on DWTS You make my night every show! 😘 #hilarious
475,neutral,@RMadridBabe I remember when Dani alves nutmeg Cristiano Ronaldo 😂
476,negative,@united only thing confusing me is why I lost priority boarding? I'm a mileage plus card member 😔
477,negative,@USAirways your flight attendants are all jerks 🐳
478,negative,"FOREST FIRES IN ISRAEL‼️ New form of forest terrorism, eye that this can easily be exported to #Europe#Terrorism… https://t.co/HNSf57NTgy"
479,positive,@SouthwestAir male flight attendant on flight 3913 from Orlando to Indy was AMAZING! He needs a raise 👍 Had the best experience with him
480,neutral,@JadedByPolitics @KCarslin @lupash7 @mikerzer 👇👍👍How Steve Bannon Sees The Entire World https://t.co/qwpl5hYUXq via @jlfeder @buzzfeednews
481,negative,"@virginmedia Hi. I can't find the old episodes of #TheWalkingDead  on Virgin on Demand anymore: have they gone, or am I looking wrong? 😊 ❤📺"
482,negative,Woke up thinking I had a hilarious dream but then I realized it was just the #GOPDebate I watched last night.😂
483,positive,@ErinAndrews I ❤️you on DWTS You make my night every show! 😘 
484,negative,@VirginAmerica you guys messed up my seating.. I reserved seating with my friends and you guys gave my seat away ... 😡 I want free internet
485,positive,Got my mom hooked on #ThisIsUs. Binge watch weekend. ❤️
486,negative,Social Security Went In On This Check Smh. Like A Whole $60 For What 😩😩
487,positive,Special kind of friendship ! Special kind of Celebration ! Special kind of Love ❤😍😍 #Alba #Messi #FCBlive https://t.co/zz3CSrMCel
488,negative,"Foehammer2008: RT renomarky: ☑ never watch #KellyFile again

1. #GOPDebate questions 
2. Pandering to DWStweets 
3… http://t.co/AuhlNZa3Ww"
489,positive,@JetBlue I would go to Las Vegas. It is gorgeous and I go there every year and I fly with you guys Vegas is gorgeous &amp; so much to do there.🌴
490,positive,"@JetBlue Even though this flight #226 didn't have much needed hot beverages 4 us NY-ers, the landing was super smooth 👍👍 😊 #happytweet"
491,neutral,"@DebsConlon @coinabs @BobbyMc2014 @israel_shieldI hear,frustration?😀#Yemen#Iraq#Syria#Nigeria#BokoHaram #ISIS#Ansar#Hamas in #Gaza"
492,negative,I really want to exempt my History final but this essay I wrote sucks worst than Melania Trump's speech 😭😭😭
493,negative,Same ☹
494,neutral,3 yrs already 😭😭😭#3yearofMidnightmemories  #onedirection https://t.co/beqXMnUN3C
495,neutral,Mannequin Challenge Part 2. Peep me being fat with the whipped cream 😂 #mannequinchallenge https://t.co/1o7imOdzMA
496,positive,@madisenrb she's so sweet &amp; playful 😍
497,positive,I'm so excited to see Nat tonight 😍😍.. And how happy and cheery she is! &amp; then I'm even more excited for her to get on social media 😍 #BB18
498,positive,Opening de Ricky Martin 🎶💥@laliespos 💞 #LaliEnMexico https://t.co/gTMSKEKJZj
499,negative,@JetBlue is REALLY getting on my nerves !! 😡😡 #nothappy
500,positive,Bridget Jones' Baby was bloody hilarious 😅 #BridgetJonesBaby
501,neutral,SIDE TO SIDE 😘 @arianagrande #sidetoside #arianagrande #musically #comunidadgay #lgbt🌈  #LOTB… https://t.co/tEd8rftAxV
502,neutral,@JetBlue yes Party is Over 😂
503,neutral,@JoyAnnReid Joy honest q. If go to Medicare vouchers does it have to be spent or can ppl just pocket 💰 and rely on safety net care? 1/
504,positive,@AmericanAir @Clarkey_19 we done it with 1 truck... No biggie 😄
505,positive,@mrjamesob @LBC 😂 snowflake random such a funny man never a dull moment brilliant
506,positive,LIAAAAAM OMG!!  🔥🔥🔥I JIST CAN'T.. I'M LOSING MY SHIT HERE OHSSKXVSJSB#LiamPayne #OneDirection #1D… https://t.co/p5Sap3RUQX
507,negative,@RockyMntnMike @RockyMntnMike Co-owner of the Cubs Todd Ricketts appointed by Trump as Deputy Secretary of Commerce 😨 what the hell Lucifer
508,negative,How has Berger King gotten away with selling absolute 💩for this many years? #terrible
509,negative,"Vile tyrant #FidelCastro not only oppressed #Cuba but also helped to decimate #Venezuela. No #Castro, no #Chavez, no #Maduro. 😡@lisskron"
510,neutral,"@VirginAmerica Many Thanks for the Follow.
#ourprincess #freyasfund #USA #Bandie 
Looking for Any Help😍
💗🇬🇧💗🇺🇸💗
🎀🌏🎀 http://t.co/UJfS9Zi6kd"
511,neutral,Pelosi broadens leadership team https://t.co/MZNXmSXDMx #outoftouch west coast liberal doesn't get it #reelectpelosi 👁👃🏻👁#floodtheswamp
512,positive,"@laurenwils0n_ Happy birthday gorg, have a good one 😘 x"
513,positive,We out here shopping for clothes and it feels so good to fit in smalls again 👏🏾👌🏾💪🏾
514,negative,So I guess Trump Is paying off people to win debates now. 😂 #GOPDebate
515,negative,@united my cats flight was delayed 1+hour  she will be arriving to Hawaii after 5 &amp; I won't be able to pick her up until tomorrow 😭
516,positive,Jack's effort to turn their family's disastrous Thanksgiving into a memorable one 😭 #ThisIsUs
517,positive,"New tumblr post: ""@ridesharedating: New tumblr post: ""@Swilly44: @heatherfard yo! Hot #uber driver last night 😝 #T… https://t.co/HcJfRApuV0"
518,neutral,"“@JetBlue: Our fleet's on fleek. http://t.co/pa7dCjXlzL”

C'mon fam😭😭 just. No. Ok?"
519,positive,Will WHU be old bill free by the time the game with Chelsea comes around? 😂 😂 😂\nThat will be lively to say the least\n#AFC
520,neutral,@MsJulieLenarz @SharNeal @Leila69420824 -you openly support #Hamas & #Hezbollah - good luck w/the 72 virgin boys u get in 'paradise' 🖕from🇺🇸
521,neutral,#thewalkingdead  😍 sweet dreams https://t.co/Py2buFL5I5
522,negative,"@RebelFkingHeart @DavidYankovich I am terribly saddened by your story. I want to learn more about euthanasia. I wish you peace, my friend.❤️"
523,negative,#BeautyAndthebeast look lit but is still satanic as shit 🤘🏾😈
524,negative,"So fracking is bad, but covering 100 acres of grass in tarmac is fine?Righto. 😐 https://t.co/A2fo10AXug"
525,negative,@USAirways Has To Be THE WORST Airline Of All Time😡😡😡
526,positive,"Went to see #FantasticBeasts and at one point a character said ""Until then..."" and I immediately thought LATER, WITCHES! @ohwitchplease 😂"
527,neutral,had to work last night and missed the #GOPDebate 👎🏻 anyone record it??
528,negative,"@united thats weak. See ya 👋
Hey @VirginAmerica !!"
529,neutral,@SouthwestAir continues to prove to be the best airlines 💪
530,neutral,"""THE ARTICLE"" on #GOPDebate must read! Nails It!💥 https://t.co/xMDbTj39kC"
531,negative,Dear @TfL please tell your bus drivers if obstruction on their side DON'T just pull out to oncoming traffic causing vehs to swerve #fuming 😡
532,neutral,"@pupbasket conservatives called me a scammer as an insult , I take it as a compliment ❤️"
533,negative,#GOPDebate #DumpTrump @megynkelly u have a new fan. U showed America who Chump really is. A bully w no class. A billionaire w no substance👎🏻
534,positive,"@Harry_Styles you're the smile to my face and the beat to my heart. Thanks for being kind as much as you can be. Mind following me?💓 96,127"
535,negative,shitty but litty thanksgiving w mel 💘 @melisaabacicc https://t.co/P01ocS9UCp
536,positive,"Even after the 4th time watching #FantasticBeasts, I still teared up at the John Williams opening scores. Such a cry baby 😭"
537,negative,@SouthwestAir thanks! More concerned about the conflicting texts I was receiving my about my flight  Having to drive 10 hours now 😢
538,negative,"@USAirways @AmericanAir as a Gold Dividends member, why can't I get anyone on phone to handle my Cancelled Flighted American flight tonight 😡"
539,positive,@AmericanAir Nicest people ever flight to Chicago.Thanks David Deane &amp; Norma Sedholm for making me feel comfortable ✈️✈️✈️✈️✈️✈️✈️
540,negative,Woah that is whole lot of STDs for one single woman to have 😳😅 #ScreamQueens
541,positive,RT @SalMasekela: Straight Outta Compton commercial on Fox News. Well played. 🙌🏿 #GOPDebates
542,positive,#onedirection #niallhoran #harrystyles #WWATour best 2 lovely dance 😊❤️ them 👍 https://t.co/SDoSQTB3CH
543,neutral,"@RavenHUWolf #Venezuelan 😷President Nicolas Maduro called Cuban Raul, expresses solidarity with Cuban ppl following death of #FidelCastro."
544,neutral,@united I'll be impressed if I actually get a response! 😜
545,positive,@SouthwestAir best airline 👌
546,negative,work is going to kill me and 5 o'clock is nowhere near 😟
547,negative,I have actually watch drugs destroy an entire family 😢Mother's on skid row. Oldest daughter lost her child. Father is estranged. #horrific
548,negative,@cc_yandian @HillaryClinton her team must draw from a hat for daily personality #drugged  #yeller #quiet #screamer #😂😂
549,neutral,When i was in the 11th. I went to get this girl a necklace for Valentines day. The girl got me a old navy t shirt and a teddy bear 🙃
550,neutral,@geoffreyvs bush admin approved the bailout before Obama took office. Then again you hate Trump so you prob hate facts 🇺🇸🐸#swamp
551,neutral,"📷 Young People’s Revolution, From Minimum Wage To Millions. https://t.co/VIZKXzyC23"
552,negative,@USAirways you can send my luggage to my house👋
553,negative,Didn't know the @ChickfilA cow day thing ended at 7:30 so showed up 30 min late looking like a cow with no sandwich #sadness 😅😅😅
554,negative,@JetBlue I thought being a mosaic member had 'perks' the best part is instead of checking the extra 5lbs I'm carrying it on 😒
555,negative,@RoseTintMyWorId fucking hell mate absolute nightmare 😓
556,negative,@cc_yandian @HillaryClinton her team must draw from a hat for daily personality #drugged #angry #yeller #quiet #screamer #😂😂
557,positive,@dressenn @amerson6562 @RosaTrunk @iam_spl_ @michaelk487 @Silau25 \nGA🙋 Have a joyful day
558,negative,"Edinburgh is fucked\nThis city is a nightmare to drive 'round! 😖\nOne ways, bus lanes, cameras, feckin' trams! Who's idea was that?!"
559,negative,@politico @realDonaldTrump @POLITICOMag You guys can literally only post negative things about him. Oh such open minded liberals🙃
560,negative,"@SouthwestAir What's with the pricing cache?! About to book a flight, refreshed the page, &amp; the price jumped from $73 to $159. Ridiculous. 😑"
561,negative,Now if George Soros and David Rockefeller would just die the world would be a better place‼️🌎  https://t.co/AQHxlFhNWY
562,positive,I can't wait for NYE outfits and valentines lingerie lol 💗😛💰
563,positive,"FCBarcelona: 🔉 Leo #Messi: ""I am at the best team in the world and we do not depend on any single player"" #FCBLive https://t.co/IExtStmSEh"
564,negative,@rosieblossoms_ What a miserable piece of shit 😡
565,negative,Every day I think my #house 🏡 is #burning 🔥 but it's always just my neighbor burning their #toast! 😷😡🍞
566,positive,"thanksgiving is over, it's time to pick out a christmas tree 🎄they are on sale today & tomorrow… https://t.co/kDzQ6IK5jb"
567,positive,@AmericanAir Didn't really need anything. Saw your mentions are often negative. Keep up the good work. #gratitude  🇺🇸✈️
568,negative,@USAirways pilot for flight 729 didn't show until after departure ⌚️ &amp; now there's a broken computer. Next time flying @United. #ALWAYSLate Flight
569,neutral,Nothing! 😲@zaynmalik 🙏👍😚#zaynmalik #onedirection #harrystyles #niallhoran #louistomlinson… https://t.co/0LU8R9Lg1o
570,negative,@Nigel_Farage Always thought he was a patriot but now that DC/Clinton corruption is exposed he & GW don't seem so patriotic😕#draintheswamp
571,positive,This vampire patient is hilarious 😹 #ScreamQueens
572,negative,@united disappointed that u didnt honor my $100 credit given to me for ur mistakes. Taking my business elsewhere  ✌️out.
573,negative,"Arsonists setting fires in #Israel, now the hills of #Jerusalem are burning😥🇮🇱 #IsraelFires #arson #Arabs #Jews  https://t.co/NtPnjZaIsZ"
574,positive,This week's episode of #ScreamQueens was so great I had to watch it again just now😎
575,positive,National fast food day is the only thing that matters🍔 Watch the animation here🍟 https://t.co/T5GlUalnFQ… https://t.co/OBj3SLe1gn
576,positive,So I survived spin....trying to get down the stairs was hilarious tho #jellylegs 😂😂
577,neutral,RT @SheanWOW: 😩RT @Rik_FIair: X___X RT @kvxrdashian: when you leave the Republican Party and become a Democrat. #GOPDebate http://t.co/d3wg…
578,positive,"@ThomasSanders This was great, looking forward to next part! 😄"
579,positive,@jpus_br @ricky_martin Thank - you. You as well. Hugs and kisses to Matteo and Valentino dear heart. 😘
580,positive,"@JetBlue flight attendant Wendi on Flt 127 on 2/17, Newark to Orlando.  👍👍"
581,neutral,THE END IS COMING SOON . #Palestine❤️ https://t.co/1TzyBsOQUm
582,negative,Canada now has its own #ClintonCash problem with #JustinTrudeau - We need to #DrainTheSwamp up here badly #MCGA 🇨🇦🐊❌ https://t.co/U2xXHQVPCs
583,positive,@itejasmehta @QTalker My pleasure 😊
584,positive,Sanatana Lopez is definitely me 😂 
585,negative,Jet BOOOO 🍅🍅🍅🍅 RT @JetBlue: Our fleet's on fleek. http://t.co/0WbJAWx7xD
586,positive,"@JetBlue hey, so, Dre at Seatac check in needs a raise, stat. Dude gave me amazing customer service and made me feel valued. 👍"
587,negative,depression sucks😔
588,neutral,@SouthwestAir can you tell me if flight 805 from MDW-FLL tomorrow (2/24) is at full capacity?  i'm hoping for a little bit of extra room! 😊
589,negative,Just had my interview for the medical internship and I am beyond nervous😩 I was shaking so bad it was unreal😳
590,positive,@XGames looks exhilarating! Looking forward to seeing 👍🏼
591,positive,@JetBlue sounds good!!!💙💙💙💙
592,negative,I HATE little girls 😡😡 got a lot off growing up to do!!! #fuming
593,negative,Yo gurls Dm for a tribute 😜💦 #snapme #dm #nudes #tribute #cumtribute #cock  #cum #swallow
594,positive,As of last night I am a proud owner of a #Niffler #FantasticBeasts 😀😀😀😀🤗🤗🤗🤗
595,neutral,"@united Do you mean ""fortunately""? I don't want my flight to be affected! 😉"
596,positive,@united amazing hospitality and helpfulness from Anthony Lastella. Great staff 👏👏👏✈️ def flying #united again.
597,negative,These people irritate tf out of me I swear 🙄 I'm goin to sleep ✌🏾️
598,negative,@SouthwestAir done messed up now!!! I have planned a trip to #CostaRica for pennies!!! #VacaTime ✈️💺
599,negative,Kim Fatty the Third 😂😂😂😂 China has excelled itself this time 👌
600,negative,"RT @FrankLuntz: I'm getting a lot of @MegynKelly hatemail tonight. 😆

#GOPDebate"
601,negative,@AmericanAir it's been 2 hrs of wait on the phone a) worst customer services b) trying to know where my suitcase Is and way MORE 😤#ANGRY
602,negative,#anxious don't know why ................. #worry 😶 slowly going #mad hahahahahahahahaha
603,positive,Ek dink 'n #Backstage #mannequinchallenge by @AfrIsGroot sal MAL AWESOME wees!!! 🎥💃🏼🏃🏻🚶‍♀️🙋🏻‍♂️🕴@GrootFM @BarryPret79 ???
604,neutral,RT @CharlotteAbotsi: Today is the 50th anniversary on the Voting Rights Act and the hosts and the candidates have been 😶😶😶 about it. #GOPDe…
605,neutral,Lmk when u can refute the overwhelming scientific evidence that fossil fuels are warming our planet 🙃 https://t.co/VEjJn8bhOW
606,positive,On my way to the @DGVN_de #youth conference #up2youth 🌍👫 very excited to create a better #world for tomorrow! #dgvn… https://t.co/BqSasX8sN7
607,positive,"@united just touched down in Miami - not too far off , Nicely done united 👍"
608,positive,@Newsweek @tedcruz Priceless💛❤️ My favorite picture and it speaks volumes about this amazing man. #CruzCrew #GOPDebate @marklevinshow #ccot
609,positive,Watching #TheOtherGuys and am now convinced this was the beginning of the #MannequinChallenge 😂
610,negative,@5SOS I swear I will not go mourn because😭😭💔💔
611,positive,@americanair @bershawnjackson big UPS to Newark airport staff &amp;&amp; D.Dean. I was also treated lovely while I was in town. ❤❤
612,negative,Israel & friends spends millions NIS on hasbara and anti-Palestinian materials. They are relentless. 🇵🇸#Palestine… https://t.co/xd5Z6NIety
613,neutral,@verynetwork I keep just missing out on one these every time @HotUKDeals posts a link 😞#win #Hatchimals https://t.co/Ieb2gWSdwl
614,positive,Okay~ #deepbreathes ☺️ we can do this @sydneyswans 💪🏻🔴⚪️ #cheer #cheer &amp; see you on the other side peeps ❤️ #AFLCatsSwans #ProudlySydney
615,neutral,lythgoepanto: 10 giorni per andare da NIALL HORAN!!! 🌟 #onedirection #niallhoran #niall #americanpanto #pasadena… https://t.co/qmcaSlTthT
616,negative,@united customers ✅. Customer service ❌ http://t.co/qP6Aw3nLIP
617,negative,📷 “Cuba sends physicians all over the world. The U.S. responds with an embargo.” Via USSR 2.0 https://t.co/JLFSs6SXT1
618,positive,@united thanks for updating me about the 1+ hour delay the exact second I got to ATL. 🙅🙅🙅
619,negative,@SouthwestAir you know I ❤️you but trying my patience - had easier cheaper ways from TPA to PDX but stuck w u. Turned my 3 hrs in MCI to 6
620,neutral,"@AmericanAir Uhmmm we need @JColeNC down in Dallas,Tx for his tour 😫😫😫"
621,negative,Time to #impeachtrump . He is #crazy #mentally #sick and spews #hatred . #America is in trouble with him having #access to #nuclearcodes 👎👎
622,negative,#anxious don't know why ................. #worry 😶 slowly going #mad hahahahahahahahaha
623,positive,"@AmericanAir I love travel with yours planes, all people is very nice, it's amazing! Can you please follow me back? 😋I love the company!"
624,positive,Lastly goodbye Samsung galaxy note 5 and hello iPhone 7 plus in the color black 😋😝
625,positive,Punchline king is back! @Paedeezy 🔥🔥🔥🔥🔥🔥🔥💯💯💯 #bright city lights
626,negative,"Too much caffeine, and I'm dyyyying. #jitters #shakes #paranoia #heartbeat1000 ☕💔"
627,negative,Sorry doctor tiny bitch 😄 #ScreamQueens @kirstiealley
628,negative,@SouthwestAir is this a joke? My return flight is delayed too! 3 in a row! New record from you guys 💔😪
629,positive,#onedirection #harrystyles cute little dance 😉 https://t.co/hgpZHXDoZc
630,negative,I'm getting so nervous for my first anatomy exam 😩
631,negative,Awake at 5.30am with a seriously bad throat 😩😩😩😩😷🤒 glands feel huuuuuuuge and I'm in uni soon! #grim
632,positive,@united all good! Next flight was a little delayed so it all worked 👍
633,positive,When you want to try vegetarianism but you can't find good recipes and then you stumble upon an awesome-looking vegan site! 😍
634,positive,"And ne'er ye fret ~ Finn has an honorable mention at No. 4 😘 ""Gilmore, give them back their balls!"" 🎾🏈⚾️ #GilmoreGirlsTop4"
635,neutral,@afrikababybam LOL nah he was solo 😂 but there were a group of kids chanting build that wall at a protest after trump was elected.
636,positive,Exams done!!  Yay! Taking a drive and spending time in Blouberg 🎊💃#MyMoments 📷 did somebodddyy say tequila??  Here I come!! Opa 💞 #Uber baby
637,negative,@p4pictures it would be great but what if the card crashes 😱. It's happened to me twice #nightmare
638,positive,👏Brillant idea!👏 #3D printing for #wildlife conservation. #animals #EcoAfrica https://t.co/sRvHK9p6mx @joomomoh… https://t.co/oTMLFdCluG
639,neutral,Capital Steez-Free The Robots 💯💯💯
640,positive,"@Apathetic_Cynic @choo_ek I learned Basket Weaving for my deplorables.And I love a good mani/pedi & couples massage with you, handsome 😘"
641,neutral,I'm crying over Richard and Leonard Cohen 😭😭😭 #GilmoreGirlsRevival
642,positive,Everyone still talking about what a great job @RealBenCarson did at the #GOPDebate last night. Articulate and very good points made. 👍🏼👍🏼👍🏼
643,positive,@lozoya_edgar21 thanks Tim Duncan 👴🏼
644,negative,Horrible waking up early on your day off. Especially after that result yesterday... Ah well TWD & Westworld will sooth the pain i hope 🤔
645,neutral,How did I miss #NationalFastFoodDay 😭😂😩
646,neutral,Green Meanie Unmasked 😧 #ScreamQueens
647,positive,Happy Birthday to #Olympic #great and #champ @jordyn_wieber 🎉 🎂 🎈
648,positive,@united Made the upgrade list. Will fly 1st tomorrow (for 40 min) for the first time ever! 🙌 #StatusMatchPaidOff http://t.co/ATfRKp6goY
649,negative,@Thebeast_ufc what happened to the suicide tweet it was a joke obviously how could that offend anyone?🤔
650,neutral,@Mehdiamzgh Russell Wilson 💓  Tony Romo aussi mais bon
651,positive,@Regrann from @ckarlos_sevilla - 🍑Shake your Bon-bon 🍑  @ricky_martin #rickymartin #onewor… https://t.co/FXuvAu6Mgs https://t.co/V5XlV7NULG
652,positive,Aw there's a young fox outside on the grass just jumping around all playful and having a little stretch 🙈 soo cute 🐺
653,neutral,Because I couldn't make it on #NationalFastFoodDay the other day. Shake Shack 😍😍😍😍😍#HappyFridayToMe https://t.co/0Nj6VtgwFe
654,neutral,@realDonaldTrump's #TrumpTransitionTeam Runnin the COUNTRY ❗️❗️❗️🇺🇸🇺🇸🇺🇸 https://t.co/PDFUPRl5q9
655,positive,Bedtime. After a full listen of Lou Reed's album Transformer. Full albums are underrated these days. #back2back #enjoyment 💿 🎶 x
656,neutral,I had no idea U.S. children are required to have this many vaccines... 😯 https://t.co/4QvfZnqniA
657,neutral,RT @LaurenSivan: Twitter is full of #GOPDebate hair jokes. Who says there isn't gender equality? 💁🏽
658,neutral,At least there would be a reason...😒#TrumpTeam #TrumpTransitionTeam #Trump #TransitionTeam https://t.co/7TJre98ayT
659,negative,"On the FB post of last night's #GOPdebate, all the comments seem to be attacking Fox News for ""attacking Trump"". 😀😀😀 http://t.co/YuLgjreYvU"
660,neutral,The word MUST means forced as in have to do it 😈🐍🚽💩🐽 so NOT sincere and from the heart becuz he wants to… https://t.co/XunKUY6vVn
661,negative,Bill O'Reilly: Pandering O http://t.co/UoHxh0nrKZ  #1A☢#StopIran #GopDebate►http://t.co/ZWmstJJH16◄#19T$ #CruzCrew #rush #ycot #tiot #sot
662,neutral,Immigration through Mexico is disgusting border patrol told to stand down 45 days ago back to work border patrol very happy🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸
663,neutral,+800 more legitimate reasons than 'obamacare' or whatever 'thanks obamas' ya got 😂 https://t.co/7gU6tJQVLh
664,neutral,Raised right 🐘 #GOPDebates http://t.co/KJjluCqBqr
665,positive,"❤#Books #Book NEW - #Yoga and Vegetarianism: The Diet of Enlightenment by Gannon, Sharon #Bestseller https://t.co/iy2FwYmZVe"
666,positive,@JetBlue thank you guys! You are the best! 🙌✈️
667,positive,"So I'm gonna finish the revival later, but for now let's get my sister up to speed on #ThisIsUs ❤️"
668,negative,It feel like we lost a family member🙄😂
